calculation time: 0.001050, total time is: 0.001153, n:64 
calculation time: 0.001188, total time is: 0.001290, n:64 
calculation time: 0.001262, total time is: 0.001376, n:64 
calculation time: 0.001470, total time is: 0.001578, n:64 
calculation time: 0.000283, total time is: 0.000373, n:32 
calculation time: 0.000516, total time is: 0.000609, n:32 
calculation time: 0.007775, total time is: 0.007856, n:32 
calculation time: 0.000228, total time is: 0.000303, n:16 
calculation time: 0.000189, total time is: 0.000284, n:16 
calculation time: 0.000178, total time is: 0.000269, n:16 
calculation time: 0.000376, total time is: 0.000461, n:8 
calculation time: 0.000353, total time is: 0.000433, n:8 
calculation time: 0.000376, total time is: 0.000453, n:8 
calculation time: 0.000703, total time is: 0.000781, n:4 
calculation time: 0.000756, total time is: 0.000831, n:4 
calculation time: 0.000813, total time is: 0.000889, n:4 
calculation time: 0.001944, total time is: 0.002037, n:2 
calculation time: 0.002018, total time is: 0.002101, n:2 
calculation time: 0.002096, total time is: 0.002173, n:2 
